# Gait Setpoints for MCU Testing
# Update Rate: 200 Hz (5.0 ms per step)
# Total Steps: 300
# Cycle Duration: 1500 ms
# Format: step, time_ms, motor_A_deg*100, motor_B_deg*100
#
200,  1000.0, -98148, -47552
201,  1005.0, -97796, -47317
202,  1010.0, -97444, -47076
203,  1015.0, -97091, -46830
204,  1020.0, -96737, -46578
205,  1025.0, -96382, -46321
206,  1030.0, -96026, -46059
207,  1035.0, -95670, -45792
208,  1040.0, -95313, -45521
209,  1045.0, -94956, -45244
210,  1050.0, -94599, -44964
211,  1055.0, -94241, -44678
212,  1060.0, -93884, -44389
213,  1065.0, -93527, -44095
214,  1070.0, -93170, -43797
215,  1075.0, -92813, -43496
216,  1080.0, -92457, -43191
217,  1085.0, -92102, -42882
218,  1090.0, -91747, -42569
219,  1095.0, -91394, -42253
220,  1100.0, -91041, -41934
221,  1105.0, -90690, -41612
222,  1110.0, -90339, -41287
223,  1115.0, -89991, -40959
224,  1120.0, -89643, -40628
225,  1125.0, -89298, -40295
226,  1130.0, -88954, -39959
227,  1135.0, -88613, -39620
228,  1140.0, -88273, -39280
229,  1145.0, -87936, -38937
230,  1150.0, -87601, -38592
231,  1155.0, -87268, -38246
232,  1160.0, -86938, -37897
233,  1165.0, -86611, -37547
234,  1170.0, -86287, -37195
235,  1175.0, -85966, -36842
236,  1180.0, -85648, -36488
237,  1185.0, -85334, -36132
238,  1190.0, -85023, -35775
239,  1195.0, -84715, -35417
240,  1200.0, -84412, -35058
241,  1205.0, -84112, -34698
242,  1210.0, -83816, -34337
243,  1215.0, -83524, -33976
244,  1220.0, -83237, -33614
245,  1225.0, -82954, -33252
246,  1230.0, -82676, -32889
247,  1235.0, -82402, -32526
248,  1240.0, -82134, -32163
249,  1245.0, -81870, -31799
250,  1250.0, -81611, -31436
251,  1255.0, -81358, -31073
252,  1260.0, -81110, -30710
253,  1265.0, -80867, -30347
254,  1270.0, -80630, -29984
255,  1275.0, -80399, -29622
256,  1280.0, -80173, -29261
257,  1285.0, -79954, -28899
258,  1290.0, -79740, -28539
259,  1295.0, -79533, -28179
260,  1300.0, -79332, -27820
261,  1305.0, -79138, -27463
262,  1310.0, -78949, -27106
263,  1315.0, -78768, -26750
264,  1320.0, -78593, -26395
265,  1325.0, -78425, -26041
266,  1330.0, -78264, -25689
267,  1335.0, -78109, -25338
268,  1340.0, -77962, -24989
269,  1345.0, -77821, -24641
270,  1350.0, -77688, -24295
271,  1355.0, -77562, -23951
272,  1360.0, -77444, -23608
273,  1365.0, -77332, -23268
274,  1370.0, -77229, -22929
275,  1375.0, -77132, -22592
276,  1380.0, -77043, -22258
277,  1385.0, -76962, -21926
278,  1390.0, -76888, -21596
279,  1395.0, -76822, -21269
280,  1400.0, -76763, -20944
281,  1405.0, -76712, -20622
282,  1410.0, -76669, -20302
283,  1415.0, -76633, -19986
284,  1420.0, -76605, -19672
285,  1425.0, -76585, -19362
286,  1430.0, -76573, -19054
287,  1435.0, -76568, -18750
288,  1440.0, -76571, -18450
289,  1445.0, -76582, -18152
290,  1450.0, -76601, -17859
291,  1455.0, -76627, -17569
292,  1460.0, -76661, -17283
293,  1465.0, -76702, -17001
294,  1470.0, -76752, -16723
295,  1475.0, -76809, -16449
296,  1480.0, -76873, -16180
297,  1485.0, -76945, -15915
298,  1490.0, -77025, -15655
299,  1495.0, -77112, -15400
